SECURITIES AND EXCHANGE COMMISSION,USA,Federal Register,ebc916d02d9e277c78a90b94a5efe91a484a843a,https://api.govinfo.gov/packages/FR-2021-02-16/granules/2021-02994/htm?api_key=,Regulatory Information,2021-02-16,2021-02994,Federal,,Self-Regulatory Organizations; ICE Clear Credit LLC; Notice of Filing of Proposed Rule Change Relating to the ICC Governance Playbook,https://api.govinfo.gov/packages/FR-2021-02-16/granules/2021-02994/summary?api_key=
SECURITIES AND EXCHANGE COMMISSION,USA,Federal Register,df5609245e151e185e0f6023fb0231ea90e8b743,https://api.govinfo.gov/packages/FR-2021-02-16/granules/2021-02996/htm?api_key=,Regulatory Information,2021-02-16,2021-02996,Federal,,Self-Regulatory Organizations; Fixed Income Clearing Corporation; Order Instituting Proceedings To Determine Whether To Approve or Disapprove a Proposed Rule Change To Modify the Calculation of the MBSD VaR Floor To Incorporate a Minimum Margin Amount,https://api.govinfo.gov/packages/FR-2021-02-16/granules/2021-02996/summary?api_key=
NUCLEAR REGULATORY COMMISSION,USA,Federal Register,c7b118b3c86c263bf00d71c9a12875c86497832d,https://api.govinfo.gov/packages/FR-2021-02-16/granules/2021-03108/htm?api_key=,Regulatory Information,2021-02-16,2021-03108,Federal,,Sunshine Act Meetings,https://api.govinfo.gov/packages/FR-2021-02-16/granules/2021-03108/summary?api_key=
PEACE CORPS,USA,Federal Register,dc717cbd347db16c7fca4f5709567c38fd9e7781,https://api.govinfo.gov/packages/FR-2021-02-16/granules/2021-03062/htm?api_key=,Regulatory Information,2021-02-16,2021-03062,Federal,"The Peace Corps published a document in the Federal Register of December 7, 2020, concerning request for comments on an information collection request submission for OMB Review. The purpose of this notice is to reopen the document comment period.",Information Collection Request Submission for OMB Review; Reopening of Comment Period,https://api.govinfo.gov/packages/FR-2021-02-16/granules/2021-03062/summary?api_key=
SECURITIES AND EXCHANGE COMMISSION,USA,Federal Register,ddb70613e3002efb4936062f17d40b35f6dd2ea6,https://api.govinfo.gov/packages/FR-2021-02-16/granules/2021-02995/htm?api_key=,Regulatory Information,2021-02-16,2021-02995,Federal,,Self-Regulatory Organizations; ICE Clear Europe Limited; Notice of Filing and Immediate Effectiveness of Proposed Rule Change Relating to Amendments to the ICE Clear Europe Delivery Procedures.,https://api.govinfo.gov/packages/FR-2021-02-16/granules/2021-02995/summary?api_key=
SECURITIES AND EXCHANGE COMMISSION,USA,Federal Register,2237ee11d58eb806392b8b7f6764a69e9a269935,https://api.govinfo.gov/packages/FR-2021-02-16/granules/2021-02993/htm?api_key=,Regulatory Information,2021-02-16,2021-02993,Federal,,Self-Regulatory Organizations; The Nasdaq Stock Market LLC; Notice of Filing of Proposed Rule Change To Adopt Additional Initial Listing Criteria for Companies Primarily Operating in Jurisdictions That Do Not Provide the PCAOB With the Ability To Inspect Public Accounting Firms,https://api.govinfo.gov/packages/FR-2021-02-16/granules/2021-02993/summary?api_key=
SECURITIES AND EXCHANGE COMMISSION,USA,Federal Register,d4fc7cbd361a99d63fd0e3f1d09c01b51ae01d33,https://api.govinfo.gov/packages/FR-2021-02-16/granules/2021-03161/htm?api_key=,Regulatory Information,2021-02-16,2021-03161,Federal,,Sunshine Act Meetings,https://api.govinfo.gov/packages/FR-2021-02-16/granules/2021-03161/summary?api_key=
SECURITIES AND EXCHANGE COMMISSION,USA,Federal Register,3b0242420e91c05627896a5388182d630ca9a4d3,https://api.govinfo.gov/packages/FR-2021-02-16/granules/2021-02992/htm?api_key=,Regulatory Information,2021-02-16,2021-02992,Federal,,Self-Regulatory Organizations; New York Stock Exchange LLC; Notice of Designation of Longer Period for Commission Action on Proposed Rule Change To Revise Rules 46 and 46A and Other Related Rules To Permit the Appointment of Trading Officials,https://api.govinfo.gov/packages/FR-2021-02-16/granules/2021-02992/summary?api_key=
PEACE CORPS,USA,Federal Register,fb2ee9ee9d76759e0c19544d76b67ed0ec50466a,https://api.govinfo.gov/packages/FR-2021-02-16/granules/2021-03071/htm?api_key=,Regulatory Information,2021-02-16,2021-03071,Federal,"The Peace Corps published a document in the Federal Register of December 7, 2020, concerning request for comments on an information collection request submission for OMB Review. The purpose of this notice is to reopen the document comment period.",Information Collection Request Submission for OMB Review; Reopening of Comment Period,https://api.govinfo.gov/packages/FR-2021-02-16/granules/2021-03071/summary?api_key=
NEIGHBORHOOD REINVESTMENT CORPORATION,USA,Federal Register,6e29c4b1d6c29d7cb7cc61f263399350c9b56ef9,https://api.govinfo.gov/packages/FR-2021-02-16/granules/2021-03158/htm?api_key=,Regulatory Information,2021-02-16,2021-03158,Federal,,Sunshine Act Meetings,https://api.govinfo.gov/packages/FR-2021-02-16/granules/2021-03158/summary?api_key=
