DEPARTMENT OF TRANSPORTATION,USA,Federal Register,6142eef4019048d1642929fd402d56542e9c66e8,https://api.govinfo.gov/packages/FR-2021-01-11/granules/2021-00208/htm?api_key=,Regulatory Information,2021-01-11,2021-00208,Federal,"PHMSA is amending the Federal Pipeline Safety Regulations to ease regulatory burdens on the construction, maintenance, and operation of gas transmission, distribution, and gathering pipeline systems without adversely affecting safety. The amendments in this rule are based on rulemaking petitions from stakeholders, and DOT and PHMSA initiatives to identify appropriate areas where regulations might be repealed, replaced, or modified, and PHMSA's review of public comments. PHMSA also, as of the effective date of this final rule, withdraws the March 29, 2019 ``Exercise of Enforcement Discretion Regarding Farm Taps'' and the unpublished October 27, 2015 letter to the Interstate Natural Gas Association of America announcing a stay of enforcement pertaining to certain pressure vessels.",Pipeline Safety: Gas Pipeline Regulatory Reform,https://api.govinfo.gov/packages/FR-2021-01-11/granules/2021-00208/summary?api_key=
DEPARTMENT OF COMMERCE,USA,Federal Register,1cffe06662084170ca6ef19e7ca3e72b2197d2cf,https://api.govinfo.gov/packages/FR-2021-01-08/granules/2020-29125/htm?api_key=,Regulatory Information,2021-01-08,2020-29125,Federal,"NMFS has received a request from the Hampton Roads Connector Partners (HRCP) for authorization to take small numbers of marine mammals incidental to pile driving and removal activities at the Hampton Roads Bridge Tunnel Expansion Project (HRBT) in Norfolk, Virginia over the course of five years (2021-2026). Pursuant to the Marine Mammal Protection Act (MMPA), NMFS is proposing regulations to govern that take, and requests comments on the proposed regulations. NMFS will consider public comments prior to making any final decision on the issuance of the requested MMPA authorization, and agency responses will be summarized in the final notice of our decision.","Taking Marine Mammals Incidental to the Hampton Roads Bridge Tunnel Expansion Project in Norfolk, Virginia",https://api.govinfo.gov/packages/FR-2021-01-08/granules/2020-29125/summary?api_key=
DEPARTMENT OF THE INTERIOR,USA,Federal Register,223b03c7d6466d888615bcc7ab1a4fd7d2602278,https://api.govinfo.gov/packages/FR-2021-01-11/granules/2021-00267/htm?api_key=,Regulatory Information,2021-01-11,2021-00267,Federal,"The National Park Service is soliciting electronic comments on the significance of properties nominated before December 25, 2020, for listing or related actions in the National Register of Historic Places.",National Register of Historic Places; Notification of Pending Nominations and Related Actions,https://api.govinfo.gov/packages/FR-2021-01-11/granules/2021-00267/summary?api_key=
ENVIRONMENTAL PROTECTION AGENCY,USA,Federal Register,7a0944edc5bf26e59aafe26030d317593106b04e,https://api.govinfo.gov/packages/FR-2021-01-08/granules/2021-00116/htm?api_key=,Regulatory Information,2021-01-08,2021-00116,Federal,,Environmental Impact Statements; Notice of Availability,https://api.govinfo.gov/packages/FR-2021-01-08/granules/2021-00116/summary?api_key=
ENVIRONMENTAL PROTECTION AGENCY,USA,Federal Register,d40ada5e526dde5f585a672f8e6468feaea2df0d,https://api.govinfo.gov/packages/FR-2021-01-08/granules/2021-00114/htm?api_key=,Regulatory Information,2021-01-08,2021-00114,Federal,"The Environmental Protection Agency (EPA) is announcing the availability of the final Toxic Substances Control Act (TSCA) risk evaluation of 1, 4-dioxane. The purpose of conducting risk evaluations under TSCA is to determine whether a chemical substance presents an unreasonable risk of injury to health or the environment under the conditions of use, including an unreasonable risk to a relevant potentially exposed or susceptible subpopulation, without consideration of costs or other nonrisk factors. EPA has determined that specific conditions of use of 1, 4-dioxane present an unreasonable risk of injury to health or the environment. For those conditions of use for which EPA has found an unreasonable risk, EPA must take regulatory action to address that unreasonable risk through risk management measures enumerated in TSCA. EPA has also determined that specific conditions of use do not present an unreasonable risk of injury to health or the environment. For those conditions of use for which EPA has found no unreasonable risk of injury to health or the environment, the Agency's determination is a final Agency action and is issued via order in the risk evaluation.","1,4-Dioxane; Final Toxic Substances Control Act (TSCA) Risk Evaluation; Notice of Availability",https://api.govinfo.gov/packages/FR-2021-01-08/granules/2021-00114/summary?api_key=
DEPARTMENT OF ENERGY,USA,Federal Register,2d2479dc94831672122d85622ac298913ab1bb8a,https://api.govinfo.gov/packages/FR-2021-01-08/granules/2021-00129/htm?api_key=,Regulatory Information,2021-01-08,2021-00129,Federal,,Kern River Gas Transmission Company; Notice of Scoping Period Requesting Comments on Environmental Issues for the Planned Delta Lateral Project,https://api.govinfo.gov/packages/FR-2021-01-08/granules/2021-00129/summary?api_key=
DEPARTMENT OF COMMERCE,USA,Federal Register,1a1b0119a53cf8bd76f6670d9b169c602dcfae8d,https://api.govinfo.gov/packages/FR-2021-01-08/granules/2020-28694/htm?api_key=,Regulatory Information,2021-01-08,2020-28694,Federal,"NMFS has received a request from the U.S. Navy (Navy) for authorization to take marine mammals incidental to training activities in the Gulf of Alaska (GOA) Temporary Maritime Activities Area (TMAA) Study Area for a period of seven years, from April 2022 through April 2029. Pursuant to regulations implementing the Marine Mammal Protection Act (MMPA), NMFS is announcing receipt of the Navy's request for the development and implementation of regulations governing the incidental taking of marine mammals. NMFS invites the public to provide information, suggestions, and comments on the Navy's application and request.",Taking and Importing Marine Mammals; Taking Marine Mammals Incidental to Training Activities in the Gulf of Alaska Temporary Maritime Activities Area,https://api.govinfo.gov/packages/FR-2021-01-08/granules/2020-28694/summary?api_key=
COUNCIL ON ENVIRONMENTAL QUALITY,USA,Federal Register,c22b99d4b6e25c84a564602d04f53851d69b0b2c,https://api.govinfo.gov/packages/FR-2021-01-08/granules/2020-28879/htm?api_key=,Regulatory Information,2021-01-08,2020-28879,Federal,"In accordance with Executive Order (E.O.) 13891, ``Promoting the Rule of Law Through Improved Agency Guidance Documents,'' dated October 9, 2019, and Office of Management and Budget (OMB) Memorandum M-20-02, dated October 31, 2019, the Council on Environmental Quality (CEQ) is providing notice of where the public may access CEQ guidance documents.",Guidance Document Online Portal,https://api.govinfo.gov/packages/FR-2021-01-08/granules/2020-28879/summary?api_key=
FARM CREDIT ADMINISTRATION,USA,Federal Register,10943b3cd16f7d7008fa9b9b0cbadf6d3ca13fda,https://api.govinfo.gov/packages/FR-2021-01-11/granules/2021-00241/htm?api_key=,Regulatory Information,2021-01-11,2021-00241,Federal,"Notice is hereby given, pursuant to the Government in the Sunshine Act, of the forthcoming regular meeting of the Farm Credit Administration Board.",Sunshine Act Meetings,https://api.govinfo.gov/packages/FR-2021-01-11/granules/2021-00241/summary?api_key=
DEPARTMENT OF THE INTERIOR,USA,Federal Register,29bfa713a6074a5f0e461eb1bbfbac9da0840134,https://api.govinfo.gov/packages/FR-2021-01-12/granules/2021-00416/htm?api_key=,Regulatory Information,2021-01-12,2021-00416,Federal,"We, the U.S. Fish and Wildlife Service, are initiating 5-year status reviews of 7 species under the Endangered Species Act of 1973, as amended. A 5-year status review is based on the best scientific and commercial data available at the time of the review; therefore, we are requesting submission of any new information on these species that has become available since the last review of the species.",Endangered and Threatened Wildlife and Plants; Initiation of 5-Year Status Reviews of 7 Species in the Mountain-Prairie Region,https://api.govinfo.gov/packages/FR-2021-01-12/granules/2021-00416/summary?api_key=
